Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,5/2/10,1643691,0,42,2.57,211.10,8.11
1,12/2/10,1641957,1,39,2.55,211.24,8.11
1,19-02-2010,1611968,0,40,2.51,211.29,8.11
1,26-02-2010,1409728,0,47,2.56,211.32,8.11
1,5/3/10,1554807,0,47,2.63,211.35,8.11
1,12/3/10,1439542,0,58,2.67,211.38,8.11
1,19-03-2010,1472516,0,55,2.72,211.22,8.11
1,26-03-2010,1404430,0,51,2.73,211.02,8.11
1,2/4/10,1594968,0,62,2.72,210.82,7.81
1,9/4/10,1545419,0,66,2.77,210.62,7.81
1,16-04-2010,1466058,0,66,2.81,210.49,7.81
1,23-04-2010,1391256,0,65,2.80,210.44,7.81
1,30-04-2010,1425101,0,67,2.78,210.39,7.81
1,7/5/10,1603955,0,73,2.84,210.34,7.81
1,14-05-2010,1494252,0,75,2.85,210.34,7.81
1,21-05-2010,1399662,0,76,2.83,210.62,7.81
1,28-05-2010,1432070,0,80,2.76,210.90,7.81
1,4/6/10,1615525,0,81,2.71,211.18,7.81
1,11/6/10,1542561,0,80,2.67,211.46,7.81
1,18-06-2010,1503284,0,84,2.64,211.45,7.81
1,25-06-2010,1422712,0,84,2.65,211.34,7.81
1,2/7/10,1492418,0,81,2.67,211.22,7.79
1,9/7/10,1546074,0,80,2.64,211.11,7.79
1,16-07-2010,1448939,0,83,2.62,211.10,7.79
1,23-07-2010,1385065,0,83,2.61,211.24,7.79
1,30-07-2010,1371987,0,82,2.64,211.37,7.79
1,6/8/10,1605492,0,87,2.63,211.50,7.79
1,13-08-2010,1508238,0,87,2.69,211.64,7.79
1,20-08-2010,1513080,0,87,2.66,211.60,7.79
1,27-08-2010,1449143,0,85,2.62,211.57,7.79
1,3/9/10,1540164,0,81,2.58,211.53,7.79
1,10/9/10,1507461,1,79,2.57,211.50,7.79
1,17-09-2010,1430379,0,82,2.58,211.52,7.79
1,24-09-2010,1351791,0,81,2.62,211.60,7.79
1,1/10/10,1453330,0,72,2.60,211.67,7.84
1,8/10/10,1508240,0,64,2.63,211.75,7.84
1,15-10-2010,1459409,0,67,2.72,211.81,7.84
1,22-10-2010,1345454,0,70,2.73,211.86,7.84
1,29-10-2010,1384209,0,70,2.72,211.91,7.84
1,5/11/10,1551659,0,59,2.69,211.96,7.84
1,12/11/10,1494479,0,60,2.73,212.00,7.84
1,19-11-2010,1483784,0,51,2.77,211.89,7.84
1,26-11-2010,1955624,1,65,2.74,211.75,7.84
1,3/12/10,1548034,0,49,2.71,211.61,7.84
1,10/12/10,1682614,0,46,2.84,211.47,7.84
1,17-12-2010,1891035,0,50,2.87,211.41,7.84
1,24-12-2010,2387950,0,52,2.89,211.41,7.84
1,31-12-2010,1367320,1,48,2.94,211.40,7.84
1,7/1/11,1444732,0,48,2.98,211.40,7.74
1,14-01-2011,1391014,0,35,2.98,211.46,7.74
1,21-01-2011,1327405,0,44,3.02,211.83,7.74
1,28-01-2011,1316899,0,44,3.01,212.20,7.74
1,4/2/11,1606630,0,42,2.99,212.57,7.74
1,11/2/11,1649615,1,36,3.02,212.94,7.74
1,18-02-2011,1686843,0,57,3.05,213.25,7.74
1,25-02-2011,1456800,0,63,3.07,213.54,7.74
1,4/3/11,1636263,0,60,3.29,213.82,7.74
1,11/3/11,1553192,0,54,3.46,214.11,7.74
1,18-03-2011,1576818,0,63,3.49,214.36,7.74
1,25-03-2011,1541102,0,70,3.47,214.60,7.74
1,1/4/11,1495065,0,59,3.52,214.84,7.68
1,8/4/11,1614259,0,68,3.62,215.07,7.68
1,15-04-2011,1559889,0,71,3.74,215.29,7.68
1,22-04-2011,1564820,0,73,3.81,215.46,7.68
1,29-04-2011,1455091,0,72,3.81,215.63,7.68
1,6/5/11,1629391,0,65,3.91,215.80,7.68
1,13-05-2011,1604776,0,76,3.90,215.96,7.68
1,20-05-2011,1428218,0,68,3.91,215.73,7.68
1,27-05-2011,1466047,0,78,3.79,215.50,7.68
1,3/6/11,1635078,0,83,3.70,215.27,7.68
1,10/6/11,1588948,0,83,3.65,215.04,7.68
1,17-06-2011,1532115,0,86,3.64,215.00,7.68
1,24-06-2011,1438830,0,84,3.59,215.09,7.68
1,1/7/11,1488538,0,86,3.52,215.18,7.96
1,8/7/11,1534850,0,86,3.48,215.28,7.96
1,15-07-2011,1455120,0,89,3.58,215.36,7.96
1,22-07-2011,1396927,0,86,3.65,215.42,7.96
1,29-07-2011,1352220,0,87,3.68,215.48,7.96
1,5/8/11,1624384,0,92,3.68,215.54,7.96
1,12/8/11,1525147,0,91,3.64,215.61,7.96
1,19-08-2011,1530761,0,90,3.55,215.67,7.96
1,26-08-2011,1464693,0,88,3.52,215.73,7.96
1,2/9/11,1550229,0,88,3.53,215.80,7.96
1,9/9/11,1540471,1,76,3.55,215.86,7.96
1,16-09-2011,1514260,0,80,3.53,216.04,7.96
1,23-09-2011,1380020,0,76,3.47,216.38,7.96
1,30-09-2011,1394562,0,80,3.36,216.71,7.96
1,7/10/11,1630990,0,69,3.29,217.05,7.87
1,14-10-2011,1493526,0,72,3.27,217.36,7.87
1,21-10-2011,1502563,0,64,3.35,217.52,7.87
1,28-10-2011,1445249,0,67,3.37,217.68,7.87
1,4/11/11,1697230,0,55,3.33,217.84,7.87
1,11/11/11,1594939,0,59,3.30,218.00,7.87
1,18-11-2011,1539484,0,62,3.31,218.22,7.87
1,25-11-2011,2033321,1,60,3.24,218.47,7.87
1,2/12/11,1584084,0,49,3.17,218.71,7.87
1,9/12/11,1799682,0,44,3.16,218.96,7.87
1,16-12-2011,1881177,0,52,3.16,219.18,7.87
1,23-12-2011,2270189,0,48,3.11,219.36,7.87
1,30-12-2011,1497463,1,45,3.13,219.54,7.87
1,6/1/12,1550370,0,49,3.16,219.71,7.35
1,13-01-2012,1459601,0,49,3.26,219.89,7.35
1,20-01-2012,1394394,0,54,3.27,219.99,7.35
1,27-01-2012,1319326,0,54,3.29,220.08,7.35
1,3/2/12,1636340,0,57,3.36,220.17,7.35
1,10/2/12,1802477,1,48,3.41,220.27,7.35
1,17-02-2012,1819870,0,45,3.51,220.43,7.35
1,24-02-2012,1539388,0,57,3.56,220.64,7.35
1,2/3/12,1688421,0,61,3.63,220.85,7.35
1,9/3/12,1675431,0,59,3.67,221.06,7.35
1,16-03-2012,1677473,0,65,3.73,221.21,7.35
